image_id,longitude,latitude,city,area,region,country
860133474581133,117.73186795368,-31.94982838928,Cunderdin,Cunderdin,Western Australia,AU
152454737707008,-115.46546196759182,51.171538690221375,Banff,,Alberta,CA
393732468965312,18.97688915808808,69.11780259850913,Storsteinnes,Balsfjord,Troms,NO
1132165610543859,-58.849666972752,-35.554807349705,San Miguel del Monte,,Buenos Aires,AR
1394764281000584,147.03644442101,-43.241833344957,Cygnet,Huon Valley,Tasmania,AU
4304508472933745,111.71332546557,2.1383249963969,Sibu,,Sarawak,MY
184068376916582,99.957131581331,9.4777282094183,Ko Samui,,Surat Thani,TH
311028890545710,118.28358048575,29.724935841625,Xintan,,Anhui Sheng,CN
813929882849515,35.055043425688,-15.0184741953,Balaka,Balaka District,Southern Region,MW
1093560081172659,-6.2240662119428,56.725251766279,Isle Of Mull,Argyll and Bute,Scotland,GB
612686053145014,-96.16942670000188,18.993103300001184,Paso del Toro,,Veracruz,MX
1632995353756681,-66.11192506887,18.135853801397,G. L. Garcia,,Cayey,PR
317939186591897,55.555796187621,25.533114073286,Umm al Qaywayn,,Umm al Qaywayn,AE
520441642700354,-119.31753516877,50.249882799029,Vernon,Regional District of North Okanagan,British Columbia,CA
189829202981952,44.005405251222,41.599785003198,Tsalka,Tsalka,Kvemo Kartli,GE
4000903146675702,50.579197062107,36.973620940803,Ramsar,,Mazandaran,IR
1389710078031039,13.71181614806,47.399453831847,Schladming,Politischer Bezirk Liezen,Styria,AT
949517792450129,9.7177091797716,4.046983959221,Douala,,Littoral,CM
769547813760817,34.087808245679,1.0808757622682,Mbale,Mbale District,Eastern Region,UG
104642768529339,16.450404476788645,68.31075667561743,Kjopsvik,Tysfjord,Nordland,NO
303007251265953,-71.578509002669,-36.390450225908,Coihueco,Provincia de Nuble,Biobio,CL
320105042867850,71.468575775224,51.122642222111,Astana,,Astana Qalasy,KZ
468632131073831,29.218865526259,65.777072925388,Kuusamo,Koillismaa,Northern Ostrobothnia,FI
503560481463361,67.86856499056314,47.49971675692054,Zhezqazghan,,Qaraghandy,KZ
304682731408847,-104.84187971601,38.921916584821,Air Force Academy,El Paso County,Colorado,US
492211698793885,15.243938905249,11.731445568385,Kousseri,,Far North,CM
169961348374774,-66.338308918774,-17.444761411827,Sipe Sipe,,Cochabamba,BO
141905757860376,-74.780652186738,10.934612493587,Soledad,,Atlantico,CO
957589118406370,-48.46767735367,-8.0935339973733,Conceicao do Araguaia,Conceicao Do Araguaia,Para,BR
2521081868187418,-0.40230996669347,32.614639189097,Ain Sefra,,Wilaya de Naama,DZ
917445892443616,-1.1248279177789,52.937541598214,West Bridgford,Nottinghamshire,England,GB
383548139454148,-1.7849243363171,48.039562839713,Chavagne,Departement d'Ille-et-Vilaine,Brittany,FR
859387714930005,147.10522055011,-42.977124432213,Huonville,Huon Valley,Tasmania,AU
2295166667284628,7.1359534780749,51.190279172602,Solingen,Regierungsbezirk Dusseldorf,North Rhine-Westphalia,DE
826435791283265,-102.14648195121,31.99819818952,Midland,Midland County,Texas,US
160540152679305,32.640044964906,54.194653471895,Stodolishche,,Smolensk,RU
1441534879556156,131.9022521,43.093777400038,Vladivostok,,Primorskiy,RU
213668066965052,-7.7833356565566,41.298426689978,Vila Real,Vila Real,Vila Real,PT
491911438726571,62.642283844441,35.982936156486,Serhetabat,,Mary,TM
228333062384255,20.03622352221,42.173352559956,Iballe,Rrethi i Pukes,Shkoder,AL
339675071071472,18.935150981289,53.3141942187,Wabrzezno,Powiat wabrzeski,Kujawsko-Pomorskie,PL
174371825084733,-54.40021860075962,-15.844177431680396,Poxoreo,Poxoreo,Mato Grosso,BR
5265020933627697,81.92179231998388,41.36342468712621,Baicheng,,Xinjiang Uygur Zizhiqu,CN
364473748335727,-55.731720607751,-27.91313764655,Apostoles,Departamento de Apostoles,Misiones,AR
477063033350685,97.735136849091,16.797879002023,Hpa-an,,Kayin,MM
1234836596948376,118.2591368156,29.761870407333,Xintan,,Anhui Sheng,CN
308415407537837,-6.8798972749875,10.960432369588,Kolondieba,,Sikasso,ML
4169751473085624,136.87180806629,50.250143059295,Amursk,,Khabarovsk Krai,RU
838797057047031,1.4928102327598,43.618538732481,Balma,Departement de la Haute-Garonne,Midi-Pyrenees,FR
299535091653682,171.22063076773,-44.390911705397,Timaru,Timaru District,Canterbury,NZ
